Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
45,1980-81,NBA,26.2,6-7,205,943,241.4,43.0,88.4,0.5,2.0,21.7,28.9,14.5,28.9,43.5,25.5,9.0,5.3,18.7,25.1,108.1,.486,.245,.751,101.8,.489,15.6,33.5,.245,105.5,.534
46,1979-80,NBA,26.4,6-6,204,902,241.8,43.6,90.6,0.8,2.8,21.3,27.8,15.1,29.9,44.9,25.8,9.4,5.3,18.9,24.4,109.3,.481,.280,.764,103.1,.486,15.5,33.5,.235,105.3,.531
47,1978-79,NBA,26.3,6-6,203,902,241.1,44.5,91.7,,,21.3,28.3,14.8,30.4,45.2,25.8,9.1,5.4,19.8,25.3,110.3,.485,,.752,105.8,.485,16.0,32.8,.232,103.8,.530
48,1977-78,NBA,26.2,6-6,204,902,241.8,43.6,92.9,,,21.4,28.4,15.0,32.1,47.1,25.0,9.6,5.1,20.1,25.2,108.5,.469,,.752,106.7,.469,16.0,31.8,.230,100.9,.515
49,1976-77,NBA,26.2,6-6,204,902,241.0,42.8,92.0,,,20.8,27.7,15.0,32.1,47.1,23.9,9.4,5.1,20.6,25.2,106.5,.465,,.751,106.5,.465,16.5,31.8,.226,99.5,.511
50,1975-76,NBA,26.5,6-6,204,738,241.4,42.1,91.7,,,20.2,26.9,14.4,33.0,47.4,23.0,8.9,4.4,19.8,24.8,104.3,.458,,.751,105.5,.458,16.0,30.3,.221,98.3,.504
51,1974-75,NBA,26.7,6-6,203,738,241.4,41.7,91.1,,,19.3,25.2,14.2,32.9,47.1,23.8,8.8,4.3,19.8,24.3,102.6,.457,,.765,104.5,.457,16.3,30.2,.211,97.7,.502
52,1973-74,NBA,26.9,6-6,205,697,241.0,43.1,93.9,,,19.6,25.4,14.7,33.5,48.2,24.6,8.7,4.7,20.8,23.8,105.7,.459,,.771,107.8,.459,16.5,30.5,.209,97.7,.503
53,1972-73,NBA,26.7,6-6,205,697,240.9,44.2,96.9,,,19.2,25.3,,,50.6,25.2,,,20.2,22.8,107.6,.456,,.758,,.456,15.7,,.198,,.498
54,1971-72,NBA,26.6,6-6,206,697,241.1,43.4,95.5,,,23.3,31.2,,,51.1,24.1,,,19.6,23.6,110.2,.455,,.748,,.455,15.2,,.244,,.504
